Algorithm;input;distance;time;n_veiculos
kmeans-partition;cvrp-0-rj-90;3073,3578;908,5224139690399;135
kmeans-partition;cvrp-0-rj-91;3251,4736;979,8740513324738;143
kmeans-partition;cvrp-0-rj-92;3204,6516;914,2743549346924;141
kmeans-partition;cvrp-0-rj-93;3120,6614;922,4734148979187;137
kmeans-partition;cvrp-0-rj-94;3004,0154;928,1535913944244;127
kmeans-partition;cvrp-0-rj-95;2710,6255;709,3873257637024;110
kmeans-partition;cvrp-0-rj-96;2976,8039;907,854033946991;135
kmeans-partition;cvrp-0-rj-97;2720,5106;809,0601201057434;114
kmeans-partition;cvrp-0-rj-98;3188,7021;934,6043469905853;139
kmeans-partition;cvrp-0-rj-99;3272,7893;1067,884479045868;147
kmeans-partition;cvrp-0-rj-100;3038,0603;936,2658226490021;132
kmeans-partition;cvrp-0-rj-101;2759,8276;842,7886507511139;112
kmeans-partition;cvrp-0-rj-102;2801,9006;782,286295413971;119
kmeans-partition;cvrp-0-rj-103;3312,7488;1093,753035068512;147
kmeans-partition;cvrp-0-rj-104;2659,3173;701,3470227718353;109
kmeans-partition;cvrp-0-rj-105;3245,8427;1037,5758249759674;146
kmeans-partition;cvrp-0-rj-106;3085,9083;914,4399950504303;133
kmeans-partition;cvrp-0-rj-107;2797,0047;765,3955781459808;118
kmeans-partition;cvrp-0-rj-108;2847,2968;783,7329587936401;121
kmeans-partition;cvrp-0-rj-109;2949,0842;905,9097421169281;128
kmeans-partition;cvrp-0-rj-110;2740,0148;777,856855392456;116
kmeans-partition;cvrp-0-rj-111;3247,9415;951,546147108078;141
kmeans-partition;cvrp-0-rj-112;3070,1194;890,6486668586731;132
kmeans-partition;cvrp-0-rj-113;3289,4262;1102,9112887382507;148
kmeans-partition;cvrp-0-rj-114;3277,4658;977,951849937439;143
kmeans-partition;cvrp-0-rj-115;3281,6868;1060,373333454132;147
kmeans-partition;cvrp-0-rj-116;2969,0476;839,247709274292;122
kmeans-partition;cvrp-0-rj-117;3254,6837;944,1803076267242;143
kmeans-partition;cvrp-0-rj-118;3330,8096;1066,6440918445587;149
kmeans-partition;cvrp-0-rj-119;2994,9552;911,6702256202698;131
